"BydgoszczParkPrzemyslowy","53.0841","18.0689","291.23","39","1023","6.69","90","1683881035","5.1","6.4","216.96","0.86","3","86.55","4.53","3.52","293.96","31","1023","6.69","110","4.26","4.79","206.95","0.19","1.3","111.58","3.04","1.01"
"Bydgoszcz","53.1342","17.9943","291.29","39","1023","6.69","90","1683881581","4.93","6.26","226.97","1.36","4.28","77.96","5.36","3.67","294.25","31","1023","6.69","110","3.83","4.28","206.95","0.21","1.21","107.29","2.8","1.22"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","292.49","32","1023","7.72","100","1683884636","4.28","4.96","208.62","0.35","1.5","101.57","3.19","1.84","293.1","31","1023","8.23","100","4.45","4.98","206.95","0.18","1.33","111.58","3.01","0.99"
"Bydgoszcz","53.1342","17.9943","292.73","32","1023","7.72","100","1683885181","5.43","6.71","220.3","1.12","3.51","85.12","5.13","3.58","293.39","31","1023","8.23","100","4.08","4.53","206.95","0.16","1.31","111.58","2.95","1.05"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","293.06","30","1023","7.2","110","1683888237","3.78","4.29","206.95","0.22","1.18","107.29","2.83","1.17","293.85","28","1022","9.26","90","4.27","4.8","205.28","0.19","1.39","110.15","2.8","1.01"
"Bydgoszcz","53.1342","17.9943","293.17","30","1023","7.2","110","1683888781","4.5","5.17","210.29","0.41","1.69","100.14","3.37","1.92","294.4","29","1022","9.26","90","4.33","4.79","205.28","0.15","1.33","111.58","2.89","1.01"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","293.96","31","1023","6.69","110","1683891836","4.26","4.79","206.95","0.19","1.3","111.58","3.04","1.01","293.83","27","1022","6.69","100","4.22","4.75","203.61","0.2","1.63","111.58","2.86","1.03"
"Bydgoszcz","53.1342","17.9943","294.25","31","1023","6.69","110","1683892381","3.83","4.28","206.95","0.21","1.21","107.29","2.8","1.22","294.37","27","1022","6.69","100","4.18","4.63","203.61","0.18","1.32","110.15","2.68","1.06"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","293.1","31","1023","8.23","100","1683895436","4.45","4.98","206.95","0.18","1.33","111.58","3.01","0.99","293.19","27","1022","6.17","100","4.63","5.4","210.29","0.32","3.17","110.15","4.11","1.31"
"Bydgoszcz","53.1342","17.9943","293.39","31","1023","8.23","100","1683895981","4.08","4.53","206.95","0.16","1.31","111.58","2.95","1.05","293.53","27","1022","6.17","100","4.18","4.62","203.61","0.21","1.48","110.15","2.68","1.09"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","293.85","28","1022","9.26","90","1683899037","4.27","4.8","205.28","0.19","1.39","110.15","2.8","1.01","293.15","21","1022","6.69","110","5.12","6.28","220.3","0.29","4.84","104.43","5.72","1.87"
